127.0.0.1 - - [19/Jul/2021:13:26:33 +0530] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [19/Jul/2021:13:26:35 +0530] "GET /Elibrary/NewFile.jsp HTTP/1.1" 200 788
0:0:0:0:0:0:0:1 - - [19/Jul/2021:13:26:53 +0530] "GET /Elibrary/post?post=E%3A%5Cdocument%5Cjash%5Cdrving+licence.pdf HTTP/1.1" 404 1091
0:0:0:0:0:0:0:1 - - [19/Jul/2021:13:28:40 +0530] "GET /Elibrary/post?post=E%3A%5Cdocument%5Cjash%5Cdrving+licence.pdf HTTP/1.1" 404 1091
0:0:0:0:0:0:0:1 - - [19/Jul/2021:13:28:48 +0530] "GET /Elibrary/NewFile.jsp HTTP/1.1" 200 797
0:0:0:0:0:0:0:1 - - [19/Jul/2021:13:28:56 +0530] "GET /Elibrary/NewFile.jsp?post=E%3A%5Cdocument%5Cjash%5Cdrving+licence.pdf HTTP/1.1" 200 797
0:0:0:0:0:0:0:1 - - [19/Jul/2021:13:29:43 +0530] "GET /Elibrary/NewFile.jsp?post=E%3A%5Cdocument%5Cjash%5Cdrving+licence.pdf HTTP/1.1" 200 797
0:0:0:0:0:0:0:1 - - [19/Jul/2021:13:29:55 +0530] "GET /Elibrary/NewFile.jsp HTTP/1.1" 200 797
0:0:0:0:0:0:0:1 - - [19/Jul/2021:13:30:02 +0530] "GET /Elibrary/NewFile.jsp HTTP/1.1" 200 797
0:0:0:0:0:0:0:1 - - [19/Jul/2021:13:30:02 +0530] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [19/Jul/2021:13:30:11 +0530] "GET /Elibrary/NewFile.jsp?post=1st+sem.pdf HTTP/1.1" 200 797
0:0:0:0:0:0:0:1 - - [19/Jul/2021:13:38:09 +0530] "GET /Elibrary/NewFile.jsp HTTP/1.1" 200 797
0:0:0:0:0:0:0:1 - - [19/Jul/2021:13:38:17 +0530] "GET /Elibrary/NewFile.jsp?post=E%3A%5Cdocument%5Cjash%5Cdrving+licence.pdf HTTP/1.1" 500 4119
0:0:0:0:0:0:0:1 - - [19/Jul/2021:13:39:13 +0530] "GET /Elibrary/NewFile.jsp HTTP/1.1" 200 797
0:0:0:0:0:0:0:1 - - [19/Jul/2021:13:39:23 +0530] "GET /Elibrary/NewFile.jsp?post=E%3A%5Cdocument%5Cjash%5Cdrving+licence.pdf HTTP/1.1" 500 4132
0:0:0:0:0:0:0:1 - - [19/Jul/2021:13:42:57 +0530] "GET /Elibrary/NewFile.jsp HTTP/1.1" 200 797
0:0:0:0:0:0:0:1 - - [19/Jul/2021:13:43:02 +0530] "GET /Elibrary/NewFile.jsp?post=E%3A%5Cdocument%5Cjash%5Cdrving+licence.pdf HTTP/1.1" 200 797
0:0:0:0:0:0:0:1 - - [19/Jul/2021:13:44:37 +0530] "GET /Elibrary/NewFile.jsp HTTP/1.1" 500 273029
0:0:0:0:0:0:0:1 - - [19/Jul/2021:13:44:46 +0530] "GET /Elibrary/NewFile.jsp HTTP/1.1" 500 273029
0:0:0:0:0:0:0:1 - - [19/Jul/2021:13:52:58 +0530] "GET /Elibrary/NewFile.jsp HTTP/1.1" 500 127703
0:0:0:0:0:0:0:1 - - [19/Jul/2021:13:53:06 +0530] "GET /Elibrary/NewFile.jsp HTTP/1.1" 500 127703
0:0:0:0:0:0:0:1 - - [19/Jul/2021:13:54:22 +0530] "GET /Elibrary/NewFile.jsp HTTP/1.1" 500 127703
0:0:0:0:0:0:0:1 - - [19/Jul/2021:13:54:33 +0530] "GET /Elibrary/NewFile.jsp HTTP/1.1" 500 127703
0:0:0:0:0:0:0:1 - - [19/Jul/2021:19:55:10 +0530] "GET /Elibrary/NewFile.jsp HTTP/1.1" 500 100643
0:0:0:0:0:0:0:1 - - [19/Jul/2021:19:55:43 +0530] "GET /Elibrary/NewFile.jsp HTTP/1.1" 500 100643
0:0:0:0:0:0:0:1 - - [19/Jul/2021:19:56:37 +0530] "GET /Elibrary/NewFile.jsp HTTP/1.1" 500 100643
0:0:0:0:0:0:0:1 - - [19/Jul/2021:19:56:38 +0530] "GET /Elibrary/NewFile.jsp HTTP/1.1" 500 100643
0:0:0:0:0:0:0:1 - - [19/Jul/2021:19:56:46 +0530] "GET /Elibrary/NewFile.jsp HTTP/1.1" 500 100643
0:0:0:0:0:0:0:1 - - [19/Jul/2021:19:57:17 +0530] "GET /Elibrary/NewFile.jsp HTTP/1.1" 500 5
