127.0.0.1 - - [02/Aug/2021:10:56:55 +0530] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [02/Aug/2021:10:56:57 +0530] "GET /Elibrary/index.jsp HTTP/1.1" 200 5067
0:0:0:0:0:0:0:1 - - [02/Aug/2021:10:56:57 +0530] "GET /Elibrary/2.jpg HTTP/1.1" 200 70436
0:0:0:0:0:0:0:1 - - [02/Aug/2021:10:56:57 +0530] "GET /Elibrary/3.jpg HTTP/1.1" 200 29420
0:0:0:0:0:0:0:1 - - [02/Aug/2021:10:56:57 +0530] "GET /Elibrary/1.jpg HTTP/1.1" 200 46227
0:0:0:0:0:0:0:1 - - [02/Aug/2021:10:57:04 +0530] "GET /Elibrary/index.jsp HTTP/1.1" 200 5067
0:0:0:0:0:0:0:1 - - [02/Aug/2021:10:57:04 +0530] "GET /Elibrary/1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Aug/2021:10:57:04 +0530] "GET /Elibrary/2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Aug/2021:10:57:04 +0530] "GET /Elibrary/3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Aug/2021:10:57:09 +0530] "GET /Elibrary/books.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Aug/2021:10:57:11 +0530] "GET /Elibrary/login.jsp HTTP/1.1" 200 2792
0:0:0:0:0:0:0:1 - - [02/Aug/2021:10:57:20 +0530] "GET /Elibrary/login.jsp?email=jash%40gmail.com&password=jash%40123 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Aug/2021:10:57:20 +0530] "GET /Elibrary/books.jsp HTTP/1.1" 200 5369
